Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DynSec.API\DynSec.API.csproj,File,DynSec.API\DynSec.API.csproj,,,Microsoft.AspNetCore.Authentication.OpenIdConnect 9.0.5,,,,,"Microsoft.AspNetCore.Authentication.OpenIdConnect, 9.0.5  Recommendation:  Remove Microsoft.AspNetCore.Authentication.OpenIdConnect, and replace with new package Microsoft.AspNetCore.Authentication.OpenIdConnect 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DynSec.API\DynSec.API.csproj,File,DynSec.API\DynSec.API.csproj,,,Microsoft.AspNetCore.OpenApi 9.0.5,,,,,"Microsoft.AspNetCore.OpenApi, 9.0.5  Recommendation:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.8"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DynSec.API\DynSec.API.csproj,File,DynSec.API\DynSec.API.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DynSec.API\DynSec.API.csproj,File,DynSec.API\Program.cs,70,16,P:Microsoft.AspNetCore.Authentication.OpenIdConnect.OpenIdConnectOptions.TokenValidationParameters,,,,,"options.TokenValidationParameters.RoleClaimType = ""roles"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DynSec.API\DynSec.API.csproj,File,DynSec.API\Program.cs,69,16,T:System.IdentityModel.Tokens.Jwt.JwtRegisteredClaimNames,,,,,options.TokenValidationParameters.NameClaimType = JwtRegisteredClaimNames.Name;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DynSec.API\DynSec.API.csproj,File,DynSec.API\Program.cs,69,16,P:Microsoft.AspNetCore.Authentication.OpenIdConnect.OpenIdConnectOptions.TokenValidationParameters,,,,,options.TokenValidationParameters.NameClaimType = JwtRegisteredClaimNames.Name;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DynSec.API\DynSec.API.csproj,File,DynSec.API\Program.cs,68,16,P:Microsoft.AspNetCore.Authentication.OpenIdConnect.OpenIdConnectOptions.MapInboundClaims,,,,,options.MapInboundClaims = false;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DynSec.API\DynSec.API.csproj,File,DynSec.API\Program.cs,66,16,P:Microsoft.AspNetCore.Authentication.OpenIdConnect.OpenIdConnectOptions.GetClaimsFromUserInfoEndpoint,,,,,options.GetClaimsFromUserInfoEndpoint = true;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DynSec.API\DynSec.API.csproj,File,DynSec.API\Program.cs,63,16,P:Microsoft.AspNetCore.Authentication.OpenIdConnect.OpenIdConnectOptions.UsePkce,,,,,options.UsePkce = true;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DynSec.API\DynSec.API.csproj,File,DynSec.API\Program.cs,62,16,P:Microsoft.AspNetCore.Authentication.OpenIdConnect.OpenIdConnectOptions.ResponseMode,,,,,options.ResponseMode = OpenIdConnectResponseMode.Query;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DynSec.API\DynSec.API.csproj,File,DynSec.API\Program.cs,61,16,P:Microsoft.AspNetCore.Authentication.OpenIdConnect.OpenIdConnectOptions.ResponseType,,,,,options.ResponseType = OpenIdConnectResponseType.Code;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DynSec.API\DynSec.API.csproj,File,DynSec.API\Program.cs,59,16,P:Microsoft.AspNetCore.Authentication.OpenIdConnect.OpenIdConnectOptions.SignOutScheme,,,,,options.SignOutScheme = CookieAuthenticationDefaults.AuthenticationScheme;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DynSec.API\DynSec.API.csproj,File,DynSec.API\Program.cs,56,16,P:Microsoft.AspNetCore.Authentication.OpenIdConnect.OpenIdConnectOptions.ClientSecret,,,,,"options.ClientSecret = oidcConfig[""ClientSecret""];"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DynSec.API\DynSec.API.csproj,File,DynSec.API\Program.cs,55,16,P:Microsoft.AspNetCore.Authentication.OpenIdConnect.OpenIdConnectOptions.ClientId,,,,,"options.ClientId = oidcConfig[""ClientId""];"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DynSec.API\DynSec.API.csproj,File,DynSec.API\Program.cs,54,16,P:Microsoft.AspNetCore.Authentication.OpenIdConnect.OpenIdConnectOptions.Authority,,,,,"options.Authority = oidcConfig[""Authority""];"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DynSec.API\DynSec.API.csproj,File,DynSec.API\Program.cs,47,16,T:Microsoft.AspNetCore.Authentication.OpenIdConnect.OpenIdConnectDefaults,,,,,options.DefaultChallengeScheme = OpenIdConnectDefaults.AuthenticationScheme;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DynSec.API\DynSec.API.csproj,File,DynSec.API\Program.cs,47,16,F:Microsoft.AspNetCore.Authentication.OpenIdConnect.OpenIdConnectDefaults.AuthenticationScheme,,,,,options.DefaultChallengeScheme = OpenIdConnectDefaults.AuthenticationScheme;
